5 11
00000 -----------
00001 -----------
00010 -----------
00011 -----------
00100 000100-10-0
00101 000100-10-0
00110 000000-10-0
00111 000000-10-0
01000 -----------
01001 -----------
01010 -----------
01011 -----------
01100 001010--0-0
01101 0010010-0-0
01110 001010--0-0
01111 0010010-0-0
10000 00000-00-10
10001 00000-00-10
10010 00000-00-10
10011 00000-00-10
10100 00100-10--0
10101 00100-10--0
10110 00100-10--0
10111 00100-10--0
11000 01000-0-10-
11001 01000-0-10-
11010 01000-0-10-
11011 01000-0-10-
11100 11000-0-0-1
11101 11000-0-0-1
11110 00011-0-1-0
11111 00011-0-1-0
end
